n_samples,error_ggl
8,26.463613933477486
16,26.509397365053406
32,28.031325159971438
64,86.64147771641703
128,369.0591962438272
256,135.17985848134813
512,106.26058836694689
1024,92.68952852157024
2048,88.58211232063891
4096,86.66452762976294
8192,85.53187360927774
16384,85.54173348702871
32768,84.95118093510168
65536,84.92274614756903
131072,84.89488660847196
262144,84.81585514025652
524288,84.79875071477211
1048576,84.77079001151124
2097152,84.76893887511703
